REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Lima,Lima,LURIGANCHO,Parque Central De Chosica - Emilio Del Solar Y Mendiburu,Parques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12913,-7.669.668.907,-1.193.646.265
Lima,Huarochiri,SURCO,Aniversario Del Distrito De Surco,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12447,,
Lima,Huarochiri,SURCO,Catarata Del Amor De Surco,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12446,-7.646.948,-1.187.697
Lima,Huarochiri,SURCO,Laguna Ucte,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12445,-7.643.554,-1.179.751
Piura,Sechura,SECHURA,Festividad Patronal San Martín De Tours De Sechura,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12443,,
Loreto,Maynas,PUNCHANA,Fiesta Patronal De La Purisima De Punchana,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12593,,
Junín,Huancayo,QUILCAS,Fiesta Tradicional En Honor Al Padre San Roque,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12457,,
Cajamarca,San Ignacio,LA COIPA,Parcela Demostrativa De Cafe El Guayaquil,Agricultura,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12936,-78.909.198,-5.389.431
Junín,Huancayo,QUILCAS,Danza Los Janachos De Quilcas,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12458,,
Junín,Huancayo,QUILCAS,El Tamal Quilqueño,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12456,,
Junín,Huancayo,QUILCAS,Restos Arqueológicos De Chuctoloma,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12455,-75.255.333,-11.935.725
Moquegua,Mariscal Nieto,TORATA,Zona Arqueológica Monumental Cerro Mejía,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12613,-70.855.394,-1.709.506
Moquegua,Mariscal Nieto,MOQUEGUA,Bodega Viejo Molino,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13322,-7.092.382,-171.755
La Libertad,Santiago De Chuco,CACHICADAN,Cerro La Botica,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12459,-7.814.315.631,-8.089.907.147
La Libertad,Santiago De Chuco,CACHICADAN,Bosque La Zorrera,Bosques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12466,-7.814.215.421,-8.089.594.724
Arequipa,Arequipa,YANAHUARA,Bosque De Piedras De Puruña,Formaciones rocosas(bosque de piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12732,-71.366.592,-16.081.522
Cusco,La Convencion,HUAYOPATA,Huamanmarca Raymi,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12953,,
Piura,Ayabaca,SICCHEZ,Orquidiario Municipal Sicchez,Jardines Botánicos y Viveros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12526,-7.976.346.094,-4.570.196.339
Arequipa,Islay,ISLAY,Fiesta Tradicional De San Pedro Y San Pablo,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12469,,
Ayacucho,La Mar,CHILCAS,Plaza De Armas De Chilcas,Plazas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12484,-7.390.671,-1.317.132
Arequipa,Arequipa,AREQUIPA,Claustros De La Compañia,Complejo monumental,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12941,-71.536.284,-1.639.988
Arequipa,Arequipa,LA JOYA,Petroglifos De La Caldera,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12555,-7.175.738,-1.642.782
Cusco,Calca,LAMAY,Mirador Apu Qahuarina,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12564,-72.556.566,-1.157.306
Cusco,La Convencion,PICHARI,Cascada El Amor,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12537,-73.813.355,-12.517.794
Pasco,Oxapampa,PUERTO BERMÚDEZ,Mirador Turístico San Matias,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12743,-7.498.049,-1.040.489
